Gene_Symbol,HCC3153_wt_dox_day_7_RNA,HCC3153_wt_no_dox_day_7_RNA,HCC3153_dH3_dox_day_7_RNA,HCC3153_dH3_no_dox_day_7_RNA,HCC3153_wt_dox_day_14_RNA,HCC3153_wt_no_dox_day_14_RNA,HCC3153_dH3_dox_day_14_RNA,HCC3153_dH3_no_dox_day_14_RNA,HCC3153_wt_dox_day_21_RNA,HCC3153_wt_no_dox_day_21_RNA,HCC3153_dH3_dox_day_21_RNA,HCC3153_dH3_no_dox_day_21_RNA,MFM223_wt_dox_day_7_RNA,MFM223_wt_no_dox_day_7_RNA,MFM223_dH3_dox_day_7_RNA,MFM223_dH3_no_dox_day_7_RNA,MFM223_wt_dox_day_14_RNA,MFM223_wt_no_dox_day_14_RNA,MFM223_dH3_dox_day_14_RNA,MFM223_dH3_no_dox_day_14_RNA,MFM223_wt_dox_day_21_RNA,MFM223_wt_no_dox_day_21_RNA,MFM223_dH3_dox_day_21_RNA,MFM223_dH3_no_dox_day_21_RNA,SUM185_wt_dox_day_7_RNA,SUM185_wt_no_dox_day_7_RNA,SUM185_dH3_dox_day_7_RNA,SUM185_dH3_no_dox_day_7_RNA,SUM185_wt_dox_day_14_RNA,SUM185_wt_no_dox_day_14_RNA,SUM185_dH3_dox_day_14_RNA,SUM185_dH3_no_dox_day_14_RNA,SUM185_wt_dox_day_21_RNA,SUM185_wt_no_dox_day_21_RNA,SUM185_dH3_dox_day_21_RNA,SUM185_dH3_no_dox_day_21_RNA,EMG3_wt_dox_day_7_RNA,EMG3_wt_no_dox_day_7_RNA,EMG3_dH3_dox_day_7_RNA,EMG3_dH3_no_dox_day_7_RNA,EMG3_wt_dox_day_14_RNA,EMG3_wt_no_dox_day_14_RNA,EMG3_dH3_dox_day_14_RNA,EMG3_dH3_no_dox_day_14_RNA,EMG3_wt_dox_day_21_RNA,EMG3_wt_no_dox_day_21_RNA,EMG3_dH3_dox_day_21_RNA,EMG3_dH3_no_dox_day_21_RNA
GARNL3,108,166,99,98,71,119,114,98,75,96,72,100,227,208,245,363,296,335,229,217,218,278,282,346,92,153,136,100,78,195,193,164,116,168,125,87,69,55,67,106,64,76,105,124,83,72,116,116
COL16A1,441,689,438,406,182,265,470,312,374,455,527,479,266,131,289,207,444,258,274,93,135,232,306,176,138,63,75,79,33,57,76,24,64,58,68,31,802,1655,1380,1960,1907,2192,1837,2249,2599,2971,1153,2373
P2RY8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTS7,2271,3940,3283,2609,2295,3376,3175,2783,2658,2560,2709,3069,2340,1740,2267,3332,2528,2849,2284,2392,2666,2190,3217,3089,1172,1062,1199,803,876,1515,1292,1782,1202,1415,874,775,985,2006,1034,2559,869,1760,814,2339,1081,1551,1576,1736
PGM2,2274,3997,2368,2146,2529,3638,2634,2384,2630,2705,2232,2545,778,565,729,1060,888,1010,830,874,1017,677,1097,928,537,522,540,470,570,931,602,1169,673,795,396,408,2662,4399,2287,5667,4005,5110,2890,6018,3837,5672,3481,5041
OR8H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO38,1079,1806,1253,926,947,1277,1357,810,944,1123,1156,1080,2419,1815,2158,3521,2436,2890,2244,2417,2194,2146,2784,2768,2958,2585,2308,2020,1769,3041,2556,3362,2296,2674,1973,1563,1207,1895,1389,2534,1548,1605,965,1924,1230,1629,1527,1580
MSMB,1,3,1,0,2,6,9,1,3,5,3,0,2,9,5,11,9,12,0,12,6,4,4,16,14,21,10,16,9,30,23,44,21,31,14,16,6,8,3,13,71,22,12,12,75,61,14,9
SPEN,4988,8949,5398,4082,4055,6067,6298,4522,4977,6092,6942,6277,3188,2688,3630,4471,3814,4917,3014,2892,2577,4126,4228,3744,4288,5669,4006,3523,2642,7447,5167,5739,4447,6021,3980,3562,3253,7175,4286,7098,5555,5470,3843,6851,4914,5603,4371,5234
MC4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
IKBKB,830,1903,1030,808,645,1259,1418,745,829,1674,1234,1184,2849,2236,3413,4081,4302,4359,3544,2297,2322,3169,4391,3525,3025,3321,3020,2532,1494,5524,4211,3907,2818,5124,3292,2842,1159,1710,1596,2091,2335,2414,1912,3020,2242,2423,2033,2441
MYCBP,605,1311,907,799,702,1107,868,877,652,884,711,925,556,492,641,935,745,835,612,632,717,659,897,930,732,650,680,576,616,1128,787,1413,806,1029,645,572,827,1633,1021,2183,760,1478,673,1682,973,1212,1456,1340
FBN3,53,77,58,25,37,59,129,24,66,60,97,30,1,0,0,1,2,1,2,0,1,1,0,0,724,802,510,517,365,809,723,517,944,866,616,515,0,0,0,0,0,0,0,0,0,0,0,0
SDC1,1556,1564,1192,832,704,948,1455,775,1039,1262,1348,984,2089,1721,2100,2588,3647,3183,2411,1209,1540,2637,2861,3084,38221,18543,19875,17907,15462,26487,22721,15426,36523,25229,17715,16354,13843,35107,33512,45762,39536,34613,32600,43368,23913,39012,25713,42552
FRG1B,976,1915,979,877,961,1401,1554,901,963,1644,1350,1278,1635,1503,2171,2858,2569,2914,2325,1674,1635,2349,2983,2417,594,683,715,672,360,1064,1046,791,642,928,841,617,82,81,67,138,166,159,152,227,93,171,109,211
PIGK,2120,2710,2393,1904,2055,2494,2299,1880,2057,1923,1885,1999,1929,1665,1709,3108,1927,2378,1933,2277,2122,1767,2537,2537,1721,2042,1709,1866,1443,3067,2185,4153,1804,2868,1751,1714,1449,2686,1548,3309,1208,2308,1104,2818,1451,1841,2372,2045
PAPD4,1154,1930,1199,1135,1167,1592,1453,1236,1397,1337,1192,1215,2079,1756,1589,2989,2183,2205,1614,2318,2517,1654,2217,2224,2020,2608,2146,2028,1771,3410,2820,4234,2207,3025,2405,1808,1840,2488,1527,3072,2401,2512,1676,3497,2025,2590,2663,2648
BMP8A,17,17,11,7,10,16,9,9,11,16,15,10,2,0,0,0,0,0,0,0,0,1,2,0,8,3,3,0,2,3,8,4,2,5,1,2,1,0,0,3,1,0,1,0,1,0,0,1
DCAF12L2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DST,17978,36862,26323,15542,13130,30525,26179,21070,13195,29728,21821,27189,1395,977,1162,1557,1563,1498,1003,1252,1618,1317,1598,1210,733,1043,805,705,908,1467,970,1392,1281,1258,765,671,7949,21811,15367,25367,8821,20997,17472,30528,11071,20033,18339,21362
ABCG2,10,21,29,16,4,25,6,32,0,6,1,9,14,9,7,13,8,13,7,13,19,6,19,12,0,0,0,0,2,0,0,0,0,0,0,0,164,445,146,448,365,461,91,223,415,401,193,163
CTAGE8,19,24,13,11,19,14,16,12,19,13,13,10,66,76,107,90,94,76,99,79,48,91,126,103,35,16,42,25,7,39,29,27,28,39,26,24,19,12,17,15,17,18,26,29,17,10,30,14
XK,171,292,199,223,127,193,157,165,118,112,112,132,131,162,160,295,197,245,220,222,215,201,226,251,423,508,540,513,355,777,564,964,517,673,424,381,160,475,181,456,266,358,107,319,210,298,246,236
CLGN,36,34,49,23,32,15,53,26,49,26,47,42,658,706,953,1460,922,1335,1178,956,1000,1049,1675,1043,79,194,157,348,56,314,311,273,119,236,440,167,35,23,40,37,7,27,14,26,14,9,42,24
RNF224,34,52,48,29,9,21,20,23,5,25,16,28,155,112,181,179,223,178,166,54,91,155,251,163,89,20,48,30,25,31,39,9,62,39,17,28,70,30,28,22,36,23,15,23,62,34,39,25
NRARP,968,1666,813,658,543,1076,825,505,602,1487,700,800,109,134,173,244,184,253,200,179,124,222,218,281,176,116,158,125,45,183,111,135,103,173,151,125,307,361,218,302,552,460,363,343,567,565,394,393
KLHL32,1,3,0,0,0,0,1,1,1,1,1,0,19,27,12,28,21,33,19,25,21,13,16,33,31,27,17,31,15,43,31,51,23,49,23,27,2,4,0,4,0,3,1,3,1,3,3,8
